title,cluster
Portrait of a Lady on Fire,3
Eraserhead,3
The Boondock Saints,3
Ghostland,3
John Q,0
Perfect Blue,0
Night of the Living Dead,1
K-PAX,3
Enola Holmes 2,1
Labyrinth,4
Descendants,1
Before Midnight,1
25th Hour,4
3 Idiots,2
The Man from Earth,3
Elite Squad,0
Green Street Hooligans,3
Bicycle Thieves,4
Manhattan,0
A Bronx Tale,3
Sherlock The Abominable Bride,1
Last Christmas,1
An American Werewolf in London,2
The Raid 2,3
What Dreams May Come,0
Ed Wood,3
Every Day,1
Sing Street,3
Gandhi,1
Monster,0
Burlesque,3
I Am Sam,0
Paddington 2,1
Stranger Than Fiction,1
Wolf Children,1
Selma,3
National Lampoon's Christmas Vacation,2
The Legend of 1900,0
Punch-Drunk Love,1
The Banshees of Inisherin,0
King Richard,4
Men of Honor,1
Ip Man 2,1
The Fundamentals of Caring,1
8½,3
The First Time,1
Just Mercy,1
Hero,1
Milk,1
Kramer vs. Kramer,4
Pi,2
The Apartment,4
The King of Comedy,4
Malena,1
Run Lola Run,3
Freedom Writers,1
Shaolin Soccer,1
Galaxy Quest,2
Das Boot,2
Cinderella Man,3
Creed III,1
The Hate U Give,1
Butch Cassidy and the Sundance Kid,4
The Pope's Exorcist,1
Holidate,1
Eddie the Eagle,1
Weathering with You,1
The Shack,0
Thank You for Smoking,1
The Boat That Rocked,1
City Lights,2
Rashomon,1
My Sister's Keeper,1
Dogtooth,4
The Christmas Chronicles,2
Videodrome,3
A Fish Called Wanda,4
The English Patient,1
The Bridges of Madison County,0
The 400 Blows,3
Spartacus,4
Traffic,3
Persona,3
CODA,1
The Warriors,2
Trolls World Tour,2
M,3
The Last King of Scotland,0
Frida,1
My Girl,1
Balto,2
Mean Streets,4
Abominable,2
Tombstone,1
The Cat Returns,0
The Kid,0
The Negotiator,3
JFK,4
Dawn of the Dead,0
Raising Arizona,4
Dark Waters,3
Climax,1
Letters from Iwo Jima,0
The Bridge on the River Kwai,4
The Return of the Living Dead,2
A Man Called Otto,1
Lolita,4
Hunt for the Wilderpeople,1
We Were Soldiers,3
The Girl Who Leapt Through Time,1
The Life of David Gale,3
Wall Street,3
Dazed and Confused,2
Shoplifters,0
Scream VI,1
Roman Holiday,4
"tick, tick... BOOM!",0
Togo,1
The Omen,3
Extraction 2,1
Colonia,1
On My Skin,1
The Lost Boys,3
Easy Rider,4
Stuck in Love,1
High Fidelity,4
Ray,3
Mary and Max,1
The Choice,1
The Basketball Diaries,3
Boyz n the Hood,1
To All the Boys Always and Forever,4
5 Centimeters Per Second,0
Persepolis,2
Nosferatu,0
The Fabelmans,1
Willow,2
The Visitors,1
Papillon,0
Ballerina,1
The Dinner Game,4
La Femme Nikita,3
Empire of the Sun,0
Whisper of the Heart,2
Star Trek II The Wrath of Khan,2
Twin Peaks Fire Walk with Me,1
St. Vincent,1
The Woman King,0
Serpico,2
Papillon,0
Kung Fury,2
West Side Story,4
All About My Mother,4
"Planes, Trains and Automobiles",4
Justice League The Flashpoint Paradox,2
Monty Python's The Meaning of Life,2
Love Me If You Dare,0
Enter the Dragon,1
Fear Street 1978,0
La Dolce Vita,0
The Third Man,3
The Bad Guys,1
Duel,4
The Death of Stalin,4
Blazing Saddles,1
42,1
The Unforgivable,0
Mirage,1
Guy Ritchie's The Covenant,0
WarGames,3
Ron's Gone Wrong,1
Bloodsport,1
Pay It Forward,1
The Insider,3
The French Connection,3
Miss Sloane,4
The Way Way Back,1
